question_type,question,opt_a,opt_b,opt_c,opt_d,opt_e,correct
singlechoice,What is 2 + 3?,5,4,6,3,,opt_a
singlechoice,What is 7 - 2?,5,6,4,3,,opt_a
singlechoice,Which number comes after 9?,10,8,11,7,,opt_a
singlechoice,Which shape has three sides?,Triangle,Circle,Square,Rectangle,,opt_a
singlechoice,Which number is greater than 6?,8,5,4,3,,opt_a
singlechoice,What is double 4?,8,6,4,10,,opt_a
singlechoice,How many ones make the number 10?,10,5,2,1,,opt_a
true_false,5 is less than 9.,,,,,,true
true_false,6 + 1 equals 8.,,,,,,false
multichoice,Select the two even numbers.,2,3,4,5,,"[""opt_a"",""opt_c""]"
