class_id,class,section_id,section,class_section_id,subject_id,subject,configured_session_ids,available_in_current_session_21,import_file,question_count
1,Primary 1,4,A,29,1,Basic science,19,no,csv/lower-primary/basic-science.csv,10
1,Primary 1,4,A,29,2,Basic Technology,19,no,csv/lower-primary/basic-technology.csv,10
1,Primary 1,4,A,29,3,French,19;21,yes,csv/lower-primary/french.csv,10
1,Primary 1,4,A,29,4,English language,19;21,yes,csv/lower-primary/english-language.csv,10
1,Primary 1,4,A,29,5,Mathematics,19;21,yes,csv/lower-primary/mathematics.csv,10
1,Primary 1,4,A,29,6,Social Studies,19;21,yes,csv/lower-primary/social-studies.csv,10
1,Primary 1,4,A,29,7,Cultural and Creative Art,19;21,yes,csv/lower-primary/cultural-and-creative-art.csv,10
1,Primary 1,4,A,29,8,Basic Sci & Tech,19,no,csv/lower-primary/basic-science-and-technology.csv,10
1,Primary 1,5,B,30,1,Basic science,19,no,csv/lower-primary/basic-science.csv,10
1,Primary 1,5,B,30,2,Basic Technology,19,no,csv/lower-primary/basic-technology.csv,10
1,Primary 1,5,B,30,3,French,19;21,yes,csv/lower-primary/french.csv,10
1,Primary 1,5,B,30,4,English language,19;21,yes,csv/lower-primary/english-language.csv,10
1,Primary 1,5,B,30,5,Mathematics,19;21,yes,csv/lower-primary/mathematics.csv,10
1,Primary 1,5,B,30,6,Social Studies,19;21,yes,csv/lower-primary/social-studies.csv,10
1,Primary 1,5,B,30,7,Cultural and Creative Art,19;21,yes,csv/lower-primary/cultural-and-creative-art.csv,10
1,Primary 1,5,B,30,8,Basic Sci & Tech,19,no,csv/lower-primary/basic-science-and-technology.csv,10
17,Grade 1,4,A,21,1,Basic science,18;19,no,csv/lower-primary/basic-science.csv,10
17,Grade 1,4,A,21,2,Basic Technology,18;19,no,csv/lower-primary/basic-technology.csv,10
17,Grade 1,4,A,21,3,French,18;19,no,csv/lower-primary/french.csv,10
17,Grade 1,4,A,21,4,English language,18;19,no,csv/lower-primary/english-language.csv,10
17,Grade 1,4,A,21,5,Mathematics,18;19,no,csv/lower-primary/mathematics.csv,10
17,Grade 1,4,A,21,6,Social Studies,18;19,no,csv/lower-primary/social-studies.csv,10
17,Grade 1,4,A,21,7,Cultural and Creative Art,19,no,csv/lower-primary/cultural-and-creative-art.csv,10
17,Grade 1,4,A,21,8,Basic Sci & Tech,19,no,csv/lower-primary/basic-science-and-technology.csv,10
17,Grade 1,5,B,25,1,Basic science,19,no,csv/lower-primary/basic-science.csv,10
17,Grade 1,5,B,25,2,Basic Technology,19,no,csv/lower-primary/basic-technology.csv,10
17,Grade 1,5,B,25,3,French,19,no,csv/lower-primary/french.csv,10
