question_type,question,opt_a,opt_b,opt_c,opt_d,opt_e,correct
singlechoice,Solve 3x + 5 = 20.,x = 5,x = 3,x = 15,x = 25/3,,opt_a
singlechoice,Factorise x^2 - 9.,(x - 3)(x + 3),(x - 9)(x + 1),(x - 3)^2,(x + 9)(x - 1),,opt_a
singlechoice,"Find the slope of the line through (1, 2) and (3, 6).",2,1,3,4,,opt_a
singlechoice,Evaluate 2^3 x 2^2.,32,16,64,8,,opt_a
singlechoice,"If x + y = 7 and x - y = 1, what is x?",4,3,6,8,,opt_a
singlechoice,"Find the simple interest on NGN 10,000 at 5% per annum for 2 years.","NGN 1,000",NGN 500,"NGN 2,000","NGN 10,500",,opt_a
singlechoice,What is the probability of rolling an even number on a fair six-sided die?,1/2,1/3,2/3,1/6,,opt_a
true_false,The principal square root of 49 is 7.,,,,,,true
true_false,Every integer is a rational number.,,,,,,true
multichoice,Select the two solutions of x^2 = 9.,3,9,-3,0,,"[""opt_a"",""opt_c""]"
